short_title,full_title,book_type,classes,eras,year,file_format,file_link,description,complexity
Грачёв и др. — 10 класс,"А.В. Грачёв, В.А. Погожев, А.В. Селивёрстов — Физика, 7 класс",theory,10,modern,2019,pdf,books/grachev_10.pdf,"Один из основных современных учебников по физике, приведённый в полное соответствие с государственным образовательным стандартом, а значит — и содержанием экзаменов. При систематической самостоятельной работе содержит всё необходимое для освоение базового курса даже без учителя. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",3
Демидова — ЕГЭ,М.Ю. Демидова —  Типовые экзаменационные варианты ЕГЭ по физике,exercises,"10,11",exams,2024,pdf,books/demidova_ege.pdf,"Сборник пробных вариантов единого государственного экзамена, который никогда не принесёт вам знаний физики сам по себе, но позволит хорошо выявить, какие темы стоит повторить, и подготовит к формату экзаменационных задач и требованиям, которые к ним предъявляются.",2
Демкович — 10–11,"В.П. Демкович, Л.П. Демкович — Сборник задач по физике",exercises,"10,11",classic,1981,djvu,books/demkovich_8_10.djvu,"Хороший советский сборник задач среднего уровня сложности. Золотая середина между творческой сложностью продвинутых классических задачников и шаблонной простотой стандартизованных пробников ЕГЭ. Содержит ответы, но не разборы задач.",3
Касаткина — Интенсив ЕГЭ,И.Л. Касаткина — Интенсивный курс подготовки к ЕГЭ,theory,"10,11",exams,2012,pdf,books/kasatkina_ege.pdf,"Интенсивный курс ЕГЭ, включающий в себя множество типовых заданий и все формулы, необходимые для сдачи экзамена. Отлично подходит, чтобы повторить, но плохо, чтобы выучить. Вы вряд ли поймёте изложение этой книги, если никогда раньше не учили физику, но прекрасно подготовитесь к экзамену, если уже многое выучили и нуждаетесь лишь в освежении знаний.",2
Баканина и др. — Сборник задач,"Л.П.Баканина, В.Е.Белонучкин, С.М.Козел, Н.Н.Колачевский, Г.И.Косоуров, И.П.Мазанько —  Сборник задач по физике повышенной трудности",exercises,"10,11,college",classic,1969,pdf,books/bakanina.pdf,"Хороший советский сборник задач для углубляющих физику старшеклассников и младшекурсников. Уровень задач в среднем значительно превосходит ЕГЭ, а многие из них сформулированы приближенно к условиям реального эксперимента, что делает их безусловно ценными для настоящего изучения предмета, но не подходящими для натаскивания на экзамен. Содержит не только условия, но и разборы всех задач.",4
Козел и др. — Сборник задач,"С.М. Козел, Э.И. Рашба, С.А. Славатинский — Сборник задач по физике",exercises,"10,11,college",classic,1987,pdf,books/kozel.pdf,"Прославленный своей сложностью советский задачник для поступающих в МФТИ. Содержит задачи очень высокого уровня сложности, как правило приближенные к реальным экспериментальным и инженерным задачам. Для некоторых задач содержит разборы, для всех задач — ответы. Подойдёт самым амбициозным и готовым усердно работать школьникам и младшекурсникам.",5
Грачёв и др. — 11 класс,"А.В. Грачёв, В.А. Погожев, А.В. Селивёрстов — Физика, 7 класс",theory,11,modern,2019,pdf,books/grachev_11.pdf,"Один из основных современных учебников по физике, приведённый в полное соответствие с государственным образовательным стандартом, а значит — и содержанием экзаменов. При систематической самостоятельной работе содержит всё необходимое для освоение базового курса даже без учителя. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",3
Перельман — Физика на каждом шагу,Я.И. Перельман — Физика на каждом шагу,theory,6,classic,1998,pdf,books/perelman.pdf,"Отличная книжка для школьников 4–6 классов, которые ещё не проходят физику как отдельный предмет, но уже обладают некоторыми познаниями в области естествознания и простой математики. Задачи здесь не требуют вычислений, но заставляют подумать, а заодно способны убедить, что физика — это не сплошное занудство, и что она в самом деле на каждом шагу.",1
Грачёв и др. — 7 класс,"А.В. Грачёв, В.А. Погожев, А.В. Селивёрстов — Физика, 7 класс",theory,7,modern,2022,pdf,books/grachev_7.pdf,"Один из основных современных учебников по физике, приведённый в полное соответствие с государственным образовательным стандартом, а значит — и содержанием экзаменов. При систематической самостоятельной работе содержит всё необходимое для освоение базового курса даже без учителя. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",3
Камзеева — ОГЭ,Е.Е. Камзеева —  Типовые экзаменационные варианты ОГЭ по физике,exercises,"7,8,9",exams,2022,pdf,books/kamzeeva_oge.pdf,"Сборник пробных вариантов основного государственного экзамена, который никогда не принесёт вам знаний физики сам по себе, но позволит хорошо выявить, какие темы стоит повторить, и подготовит к формату экзаменационных задач и требованиям, которые к ним предъявляются.",2
"Лукашик, Иванова — Сборник задач","В.И. Лукашик, Е.В. Иванова — Сборник задач по физике",exercises,"7,8,9","classic, modern",2011,pdf,books/lukashik_7_9.pdf,"Начавший издаваться в советские времена и претерпевший не меньше 40 переизданий, актуализированный и одновременно классический задачник начального и среднего уровня, подходящий для практически любых учащихся средних классов. Вне зависимости от уровня в нём найдутся задачи, подходящие для каждого ученика. Задачи даны с ответами и иногда — с подсказками, но не подробными разборами.",2
Гельфгат и др. — 1001 задача с решениями,"И.М.Гельфгат, Л.Э.Генденштейн, Л.А.Кирик — 1001 задача по физике с решениями",exercises,"7,8,9,10,11",classic,1998,pdf,books/gelfgat.pdf,"Хороший сборник задач среднего и повышенного уровня сложности по всему школьному курсу физики, изданный в конце 90-ых. Золотая середина между творческой сложностью продвинутых классических задачников и шаблонной простотой стандартизованных пробников ЕГЭ. Содержит не только условия, но и разборы всех задач.",4
Грачёв и др. — 8 класс,"А.В. Грачёв, В.А. Погожев, А.В. Селивёрстов — Физика, 7 класс",theory,8,modern,2017,pdf,books/grachev_8.pdf,"Один из основных современных учебников по физике, приведённый в полное соответствие с государственным образовательным стандартом, а значит — и содержанием экзаменов. При систематической самостоятельной работе содержит всё необходимое для освоение базового курса даже без учителя. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",3
Демкович — 8–10,"В.П. Демкович, Л.П. Демкович — Сборник задач по физике",exercises,"8,9,10",classic,1981,djvu,books/demkovich_8_10.djvu,"Хороший советский сборник задач среднего уровня сложности. Золотая середина между творческой сложностью продвинутых классических задачников Баканиной и Козела и шаблонной простотой стандартизованных пробников ЕГЭ. Содержит ответы, но не разборы задач.",3
Грачёв и др. — 9 класс,"А.В. Грачёв, В.А. Погожев, А.В. Селивёрстов — Физика, 7 класс",theory,9,modern,2021,pdf,books/grachev_9.pdf,"Один из основных современных учебников по физике, приведённый в полное соответствие с государственным образовательным стандартом, а значит — и содержанием экзаменов. При систематической самостоятельной работе содержит всё необходимое для освоение базового курса даже без учителя. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",3
"Пёрышкин, Иванов — 7 класс","И.М. Пёрышкин, А.И. Иванов — Физика, 9 класс",theory,7,"classic,modern",1971,pdf,books/pyoryshkin_7.pdf,"Классический советский учебник, переизданный и адаптированный к современной программе. Прекрасно подойдёт как для самостоятельного изучения предмета, так и для подготовки к экзаменам. Содержит всё необходимое для работы над базовым курсом: теорию, задачи с разбором и без. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",2
"Пёрышкин, Иванов — 8 класс","И.М. Пёрышкин, А.И. Иванов — Физика, 9 класс",theory,8,"classic,modern",1971,pdf,books/pyoryshkin_8.pdf,"Классический советский учебник, переизданный и адаптированный к современной программе. Прекрасно подойдёт как для самостоятельного изучения предмета, так и для подготовки к экзаменам. Содержит всё необходимое для работы над базовым курсом: теорию, задачи с разбором и без. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",2
"Пёрышкин, Иванов — 9 класс","И.М. Пёрышкин, А.И. Иванов — Физика, 9 класс",theory,9,"classic,modern",1971,pdf,books/pyoryshkin_9.pdf,"Классический советский учебник, переизданный и адаптированный к современной программе. Прекрасно подойдёт как для самостоятельного изучения предмета, так и для подготовки к экзаменам. Содержит всё необходимое для работы над базовым курсом: теорию, задачи с разбором и без. Для высокого, олимпиадного уровня, понадобятся и другие учебники, но это отличное начало.",2
Иродов — Задачи,И.Е. Иродов – Задачи по общей физике,exercises,college,classic,1988,pdf,books/irodov.pdf,"Знаменитый советский задачник для студентов. Содержит задачи высокого уровня сложности, которые подходят ответственным студентам и очень продвинутым старшеклассникам. Теория дана лишь в форме краткой справки, ответы даны без решений за исключением небольшого числа пояснений к особенно тонким местам.",5
"Савельев – Волны, Оптика","И.В. Савельев — Курс общей физики, том 4, Волны, Оптика",theory,college,"classic, modern",2021,pdf,books/savelyev_1.pdf,"Четвёртый том монументального учебного пособия по всему курсу общей физики от выдающегося советского учёного и педагога, ставший классикой, и в то же время своевременно актуализируемый под современное состояние науки. Большая и обстоятельная книжка для студентов, желающих по-настоящему понять предмет.",5
Савельев – Квантовая физика,"И.В. Савельев — Курс общей физики, том 5, Квантовая оптика, атомная физика, физика твёрдого тела, физика атомного ядра и элементарных частиц",theory,college,"classic, modern",2021,pdf,books/savelyev_1.pdf,"Пятый и заключительный том монументального учебного пособия по всему курсу общей физики от выдающегося советского учёного и педагога, ставший классикой, и в то же время своевременно актуализируемый под современное состояние науки. Большая и обстоятельная книжка для студентов, желающих по-настоящему понять предмет.",5
Савельев – Механика,"И.В. Савельев — Курс общей физики, том 1, Механика",theory,college,"classic, modern",2021,pdf,books/savelyev_1.pdf,"Первый том монументального учебного пособия по всему курсу общей физики от выдающегося советского учёного и педагога, ставший классикой, и в то же время своевременно актуализируемый под современное состояние науки. Большая и обстоятельная книжка для студентов, желающих по-настоящему понять предмет.",5
Савельев – Молекулярная физика и ТД,"И.В. Савельев — Курс общей физики, том 3, Молекулярная физика и термодинамика",theory,college,"classic, modern",2021,pdf,books/savelyev_1.pdf,"Третий том монументального учебного пособия по всему курсу общей физики от выдающегося советского учёного и педагога, ставший классикой, и в то же время своевременно актуализируемый под современное состояние науки. Большая и обстоятельная книжка для студентов, желающих по-настоящему понять предмет.",5
Савельев – Электричество и магнетизм,"И.В. Савельев — Курс общей физики, том 2, Электричество и магнетизм",theory,college,"classic, modern",2021,pdf,books/savelyev_1.pdf,"Второй том монументального учебного пособия по всему курсу общей физики от выдающегося советского учёного и педагога, ставший классикой, и в то же время своевременно актуализируемый под современное состояние науки. Большая и обстоятельная книжка для студентов, желающих по-настоящему понять предмет.",5
